producto,marca,dueno,empresa,categoria,precio,precio_lista,precio_referencia,desvio_referencia_pct,estado_referencia,producto_referencia,fuente_referencia,super,local,sku,url
Fiambre de Cerdo Línea Amarilla SARUBBI x kg,Sarubbi,Sarubbi,Sarubbi,Fiambres y feteados,500,,,,,,,geant,,300926,https://www.geant.com.uy/product/fiambre-de-cerdo-linea-amarilla-sarubbi-x-kg/300926
Fiambre Sarubbi De Cerdo L/Roja Kg,Sarubbi,Sarubbi,Sarubbi,Fiambres y feteados,395,395,,,,,,eldorado,,2025,https://www.eldorado.com.uy/fiambre-sarubbi-de-cerdo-l-roja-kg/p
Fiambre Sarubbi Linea Azul De Cerdo Kg,Sarubbi,Sarubbi,Sarubbi,Fiambres y feteados,515,515,,,,,,eldorado,,7107,https://www.eldorado.com.uy/fiambre-sarubbi-linea-azul-de-cerdo-kg/p
Jamón Veronna en Fetas SARUBBI 200 gr,Sarubbi,Sarubbi,Sarubbi,Fiambres y feteados,230,,,,,,,tiendainglesa,,1097697,"https://www.tiendainglesa.com.uy/supermercado/jamon-veronna-en-fetas-sarubbi-200-gr.producto?1097697,,42&campaign=search_facets"
Hamburguesa Camposur Cheddar 2Un,Camposur,Competencia,Camposur,Hamburguesas,104.9,104.9,,,,,,eldorado,,19766,https://www.eldorado.com.uy/hamburguesa-camposur-cheddar-2un/p
Hamburguesa Camposur Parrillera 2un,Camposur,Competencia,Camposur,Hamburguesas,77,77,,,,,,eldorado,,7233,https://www.eldorado.com.uy/hamburguesa-camposur-parrillera-2un/p
Hamburguesa Extra Camposur 12 Ud,Camposur,Competencia,Camposur,Hamburguesas,502,502,,,,,,tata,,171487,https://www.tata.com.uy/hamburguesa-extra-camposur-12-ud-171487/p
Hamburguesa Extra x 12 CAMPOSUR 1 kg,Camposur,Competencia,Camposur,Hamburguesas,604,,,,,,,devoto,,260282,https://www.devoto.com.uy/product/hamburguesa-extra-x-12-camposur-1-kg/260282
Hamburguesa Extra x 12 CAMPOSUR 1 kg,Camposur,Competencia,Camposur,Hamburguesas,604,,,,,,,disco,,260282,https://www.disco.com.uy/product/hamburguesa-extra-x-12-camposur-1-kg/260282
Hamburguesa Extra x 12 CAMPOSUR 1 kg,Camposur,Competencia,Camposur,Hamburguesas,587,,,,,,,geant,,260282,https://www.geant.com.uy/product/hamburguesa-extra-x-12-camposur-1-kg/260282
Hamburguesa Parrillera Camposur 900 g 12 U,Camposur,Competencia,Camposur,Hamburguesas,402,402,,,,,,tata,,3964,https://www.tata.com.uy/hamburguesa-parrillera-camposur-900g-12-u-1000059136-3964/p
Hamburguesas Camposur Cheddar Caja X 8 U,Camposur,Competencia,Camposur,Hamburguesas,363,363,,,,,,tata,,152438,https://www.tata.com.uy/hamburguesas-camposur-cheddar-caja-x-8-u-152438/p
Hamburguesas CAMPOSUR Extra (24 un.),Camposur,Competencia,Camposur,Hamburguesas,959,,,,,,,tiendainglesa,,420422,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-camposur-extra-24-un..producto?420422,,42"
"Hamburguesas CAMPOSUR Extra 20+4 1,8 kg",Camposur,Competencia,Camposur,Hamburguesas,983,,,,,,,devoto,,231061,https://www.devoto.com.uy/product/hamburguesas-camposur-extra-20-4-1-8-kg/231061
"Hamburguesas CAMPOSUR Extra 20+4 1,8 kg",Camposur,Competencia,Camposur,Hamburguesas,983,,,,,,,disco,,231061,https://www.disco.com.uy/product/hamburguesas-camposur-extra-20-4-1-8-kg/231061
"Hamburguesas CAMPOSUR Extra 20+4 1,8 kg",Camposur,Competencia,Camposur,Hamburguesas,959,,,,,,,geant,,231061,https://www.geant.com.uy/product/hamburguesas-camposur-extra-20-4-1-8-kg/231061
Hamburguesas Camposur Extra 2Un,Camposur,Competencia,Camposur,Hamburguesas,65,84.9,,,,,,eldorado,,1240,https://www.eldorado.com.uy/hamburguesas-camposur-extra-2un/p
Hamburguesas CAMPOSUR Extra Grande Premium (6 un.) 684 g,Camposur,Competencia,Camposur,Hamburguesas,352,,,,,,,tiendainglesa,,1566233,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-camposur-extra-grande-premium-6-un.-684-g.producto?1566233,,42"
Hamburguesas CAMPOSUR Extra Seleccionadas (12 un.) 1 Kg,Camposur,Competencia,Camposur,Hamburguesas,525,,,,,,,tiendainglesa,,371284,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-camposur-extra-seleccionadas-12-un.-1-kg.producto?371284,,42"
Hamburguesas CAMPOSUR Kosher (12 un.) 900 g,Camposur,Competencia,Camposur,Hamburguesas,602,,,,,,,tiendainglesa,,1590100,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-camposur-kosher-12-un.-900-g.producto?1590100,,42"
Hamburguesas CAMPOSUR Light sin Sal (9 un.),Camposur,Competencia,Camposur,Hamburguesas,399,,,,,,,tiendainglesa,,1602759,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-camposur-light-sin-sal-9-un..producto?1602759,,42"
Hamburguesas Camposur Parillera 12Un,Camposur,Competencia,Camposur,Hamburguesas,457,457,,,,,,eldorado,,1197,https://www.eldorado.com.uy/hamburguesas-camposur-parillera-12un/p
Hamburguesas CAMPOSUR Parrilleras (12 un.) 900 g,Camposur,Competencia,Camposur,Hamburguesas,458,,,,,,,tiendainglesa,,384629,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-camposur-parrilleras-12-un.-900-g.producto?384629,,42"
Hamburguesas Chori Burger CAMPOSUR (8 un.) 668 g,Camposur,Competencia,Camposur,Hamburguesas,309,,,,,,,tiendainglesa,,1599960,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-chori-burger-camposur-8-un.-668-g.producto?1599960,,42"
Hamburguesas Extra Camposur 20+4 U,Camposur,Competencia,Camposur,Hamburguesas,802,802,,,,,,tata,,126500,https://www.tata.com.uy/hamburguesas-extra-camposur-20-4-u-126500/p
Hamburguesas extra grandes CAMPOSUR 6 Un. 684 g,Camposur,Competencia,Camposur,Hamburguesas,362,,,,,,,devoto,,241316,https://www.devoto.com.uy/product/hamburguesas-extra-grandes-camposur-6-un-684-g/241316
Hamburguesas extra grandes CAMPOSUR 6 Un. 684 g,Camposur,Competencia,Camposur,Hamburguesas,362,,,,,,,disco,,241316,https://www.disco.com.uy/product/hamburguesas-extra-grandes-camposur-6-un-684-g/241316
Hamburguesas extra grandes CAMPOSUR 6 Un. 684 g,Camposur,Competencia,Camposur,Hamburguesas,362,,,,,,,geant,,241316,https://www.geant.com.uy/product/hamburguesas-extra-grandes-camposur-6-un-684-g/241316
Hamburguesas Extra Light CAMPOSUR sin Sal x 8 un. cj. 600 g,Camposur,Competencia,Camposur,Hamburguesas,386,,,,,,,geant,,235078,https://www.geant.com.uy/product/hamburguesas-extra-light-camposur-sin-sal-x-8-un-cj-600-g/235078
Hamburguesas parrilleras CAMPOSUR 12 un. 900 g,Camposur,Competencia,Camposur,Hamburguesas,461,,,,,,,geant,,234581,https://www.geant.com.uy/product/hamburguesas-parrilleras-camposur-12-un-900-g/234581
Hamburguesa Ottonello Bondiola 2 U,Ottonello,Competencia,Ottonello,Hamburguesas,109,109,,,,,,tata,,171716,https://www.tata.com.uy/hamburguesa-ottonello-bondiola-2-u-1000581527-171716/p
Hamburguesa Ottonello Bondiola De Cerdo 220gr,Ottonello,Competencia,Ottonello,Hamburguesas,97,97,,,,,,eldorado,,57634,https://www.eldorado.com.uy/hamburguesa-ottonello-bondiola-de-cerdo-220gr/p
Hamburguesa Ottonello Premium Bondiola Con Finas Hierbas 220,Ottonello,Competencia,Ottonello,Hamburguesas,99.9,99.9,,,,,,eldorado,,57636,https://www.eldorado.com.uy/hamburguesa-ottonello-premium-bondiola-con-finas-hierbas-220/p
Hamburguesa Congelada Chori Schneck 2 U 167 G,Schneck,Competencia,Schneck,Hamburguesas,71.4,102,,,,,,tata,,3955,https://www.tata.com.uy/hamburguesa-congelada-chori-schneck-2-u-167-g-3955/p
Hamburguesa Congelada Schneck 12 U 1 Kg,Schneck,Competencia,Schneck,Hamburguesas,539,599,,,,,,tata,,908,https://www.tata.com.uy/hamburguesa-congelada-schneck-12-u-1-kg-908/p
Hamburguesa Congelada Sin Sal Schneck 2 U,Schneck,Competencia,Schneck,Hamburguesas,115,115,,,,,,tata,,3956,https://www.tata.com.uy/hamburguesa-congelada-sin-sal-schneck-2-u-3956/p
Hamburguesa Schneck 2 U 167 G,Schneck,Competencia,Schneck,Hamburguesas,96,120,,,,,,tata,,904,https://www.tata.com.uy/hamburguesa-schneck-2-u-167-g-904/p
Hamburguesa Schneck Caja X 24,Schneck,Competencia,Schneck,Hamburguesas,1438,1438,,,,,,tata,,152186,https://www.tata.com.uy/hamburguesa-schneck-caja-x-24-152186/p
Hamburguesa Schneck Clásica x 2 Uni 167 g,Schneck,Competencia,Schneck,Hamburguesas,104.9,104.9,,,,,,eldorado,,9770,https://www.eldorado.com.uy/hamburguesa-schneck-clasica-x-2-uni-167-g/p
Hamburguesa Schneck Veggie Boniato Y Zanahoria 2un 180gr,Schneck,Competencia,Schneck,Hamburguesas,144.9,144.9,,,,,,eldorado,,45680,https://www.eldorado.com.uy/hamburguesa-schneck-veggie-boniato-y-zanahoria-2un-180gr/p
Hamburguesa Schneck Veggie Espinaca Y Puerro 2 Uni 180 g,Schneck,Competencia,Schneck,Hamburguesas,144.9,144.9,,,,,,eldorado,,45679,https://www.eldorado.com.uy/hamburguesa-schneck-veggie-espinaca-y-puerro-2-uni-180-g/p
Hamburguesa Schneck Veggie Espinaca Y Puerro X2U 180 G.,Schneck,Competencia,Schneck,Hamburguesas,103.6,148,,,,,,tata,,147540,https://www.tata.com.uy/hamburguesa-schneck-veggie-espinaca-y-puerro-x2u-180-g--147540/p
Hamburguesa Schneck XI,Schneck,Competencia,Schneck,Hamburguesas,126,126,,,,,,tata,,117882,https://www.tata.com.uy/hamburguesa-schneck-xi-117882/p
Hamburguesa Schneck Xl Flow Pack 2 Uni 220 g,Schneck,Competencia,Schneck,Hamburguesas,125,167,,,,,,eldorado,,32436,https://www.eldorado.com.uy/hamburguesa-schneck-xl-flow-pack-2-uni-220-g/p
Hamburguesa SCHNECK XL x 2 un. 220 g,Schneck,Competencia,Schneck,Hamburguesas,143,,,,,,,geant,,260076,https://www.geant.com.uy/product/hamburguesa-schneck-xl-x-2-un-220-g/260076
Hamburguesa Veggie Boniato Y Zanahoria Schneck X 2 U,Schneck,Competencia,Schneck,Hamburguesas,103.6,148,,,,,,tata,,147539,https://www.tata.com.uy/hamburguesa-veggie-boniato-y-zanahoria-schneck-x-2-u-147539/p
Hamburguesa Veggie SCHNECK Boniato Zanahoria 6 un. 540 g,Schneck,Competencia,Schneck,Hamburguesas,454,,,,,,,devoto,,242129,https://www.devoto.com.uy/product/hamburguesa-veggie-schneck-boniato-zanahoria-6-un-540-g/242129
Hamburguesa Veggie SCHNECK Boniato Zanahoria 6 un. 540 g,Schneck,Competencia,Schneck,Hamburguesas,522,,,,,,,disco,,242129,https://www.disco.com.uy/product/hamburguesa-veggie-schneck-boniato-zanahoria-6-un-540-g/242129
Hamburguesa Veggie SCHNECK Boniato Zanahoria 6 un. 540 g,Schneck,Competencia,Schneck,Hamburguesas,444,,,,,,,geant,,242129,https://www.geant.com.uy/product/hamburguesa-veggie-schneck-boniato-zanahoria-6-un-540-g/242129
Hamburguesa XL Schneck 8 U,Schneck,Competencia,Schneck,Hamburguesas,591,591,,,,,,tata,,172803,https://www.tata.com.uy/hamburguesa-xl-schneck-8-u-1000590864-172803/p
Hamburguesas Chori Burger SCHNECK (2 un.) 167 g,Schneck,Competencia,Schneck,Hamburguesas,92,,,,,,,tiendainglesa,,249130,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-chori-burger-schneck-2-un.-167-g.producto?249130,,42"
Hamburguesas chori SCHNECK 2 un.,Schneck,Competencia,Schneck,Hamburguesas,71,,,,,,,devoto,,234157,https://www.devoto.com.uy/product/hamburguesas-chori-schneck-2-un/234157
Hamburguesas chori SCHNECK 2 un.,Schneck,Competencia,Schneck,Hamburguesas,71,,,,,,,disco,,234157,https://www.disco.com.uy/product/hamburguesas-chori-schneck-2-un/234157
Hamburguesas chori SCHNECK 2 un.,Schneck,Competencia,Schneck,Hamburguesas,71,,,,,,,geant,,234157,https://www.geant.com.uy/product/hamburguesas-chori-schneck-2-un/234157
Hamburguesas Clásicas SCHNECK Carne (12 un.) 1 Kg,Schneck,Competencia,Schneck,Hamburguesas,615,,,,,,,tiendainglesa,,6865,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-clasicas-schneck-carne-12-un.-1-kg.producto?6865,,42"
Hamburguesas Clásicas SCHNECK Carne 100% Vacuna (8 un.),Schneck,Competencia,Schneck,Hamburguesas,415,,,,,,,tiendainglesa,,6803,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-clasicas-schneck-carne-100%25-vacuna-8-un..producto?6803,,42"
Hamburguesas Congeladas Schneck 8 U 668 G,Schneck,Competencia,Schneck,Hamburguesas,494,494,,,,,,tata,,907,https://www.tata.com.uy/hamburguesas-congeladas-schneck-8-u-668-g-907/p
Hamburguesas SCHNECK 100% Carne Vacuna sin sal (8 un.) $ 490,Schneck,Competencia,Schneck,Hamburguesas,490,,,,,,,tiendainglesa,,296156,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-schneck-100%25-carne-vacuna-sin-sal-8-un..producto?296156,,42"
Hamburguesas SCHNECK 12 un. 1 kg,Schneck,Competencia,Schneck,Hamburguesas,609,,,,,,,devoto,,234823,https://www.devoto.com.uy/product/hamburguesas-schneck-12-un-1-kg/234823
Hamburguesas SCHNECK 12 un. 1 kg,Schneck,Competencia,Schneck,Hamburguesas,609,,,,,,,disco,,234823,https://www.disco.com.uy/product/hamburguesas-schneck-12-un-1-kg/234823
Hamburguesas SCHNECK 12 un. 1 kg,Schneck,Competencia,Schneck,Hamburguesas,594,,,,,,,geant,,234823,https://www.geant.com.uy/product/hamburguesas-schneck-12-un-1-kg/234823
Hamburguesas SCHNECK 2 un.,Schneck,Competencia,Schneck,Hamburguesas,105,,,,,,,devoto,,234178,https://www.devoto.com.uy/product/hamburguesas-schneck-2-un/234178
Hamburguesas SCHNECK 2 un.,Schneck,Competencia,Schneck,Hamburguesas,105,,,,,,,disco,,234178,https://www.disco.com.uy/product/hamburguesas-schneck-2-un/234178
Hamburguesas SCHNECK 2 un.,Schneck,Competencia,Schneck,Hamburguesas,105,,,,,,,geant,,234178,https://www.geant.com.uy/product/hamburguesas-schneck-2-un/234178
Hamburguesas SCHNECK Clásica (2 un.) 167 g,Schneck,Competencia,Schneck,Hamburguesas,106,,,,,,,tiendainglesa,,272729,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-schneck-clasica-2-un.-167-g.producto?272729,,42"
Hamburguesas Schneck Clasicas 12Un,Schneck,Competencia,Schneck,Hamburguesas,569,607,,,,,,eldorado,,6773,https://www.eldorado.com.uy/hamburguesas-schneck-clasicas-12un/p
Hamburguesas Schneck clásicas x 8 Uni,Schneck,Competencia,Schneck,Hamburguesas,409,409,,,,,,eldorado,,7806,https://www.eldorado.com.uy/hamburguesas-schneck-clasicas-x-8-uni/p
Hamburguesas SCHNECK sin sal 2 un. 167 g,Schneck,Competencia,Schneck,Hamburguesas,117,,,,,,,devoto,,245178,https://www.devoto.com.uy/product/hamburguesas-schneck-sin-sal-2-un-167-g/245178
Hamburguesas SCHNECK sin sal 2 un. 167 g,Schneck,Competencia,Schneck,Hamburguesas,117,,,,,,,disco,,245178,https://www.disco.com.uy/product/hamburguesas-schneck-sin-sal-2-un-167-g/245178
Hamburguesas SCHNECK sin sal 2 un. 167 g,Schneck,Competencia,Schneck,Hamburguesas,115,,,,,,,geant,,245178,https://www.geant.com.uy/product/hamburguesas-schneck-sin-sal-2-un-167-g/245178
Hamburguesas Schneck Sin Sal 2Un,Schneck,Competencia,Schneck,Hamburguesas,114.9,114.9,,,,,,eldorado,,4002,https://www.eldorado.com.uy/hamburguesas-schneck-sin-sal-2un/p
Hamburguesas SCHNECK x 24 2 kg,Schneck,Competencia,Schneck,Hamburguesas,999,,,,,,,devoto,,241077,https://www.devoto.com.uy/product/hamburguesas-schneck-x-24-2-kg/241077
Hamburguesas SCHNECK x 24 2 kg,Schneck,Competencia,Schneck,Hamburguesas,999,,,,,,,disco,,241077,https://www.disco.com.uy/product/hamburguesas-schneck-x-24-2-kg/241077
Hamburguesas SCHNECK x 24 2 kg,Schneck,Competencia,Schneck,Hamburguesas,999,,,,,,,geant,,241077,https://www.geant.com.uy/product/hamburguesas-schneck-x-24-2-kg/241077
Hamburguesas Veggie SCHNECK Boniato y Zanahoria (2 un.) $ 152,Schneck,Competencia,Schneck,Hamburguesas,152,,,,,,,tiendainglesa,,1561730,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-veggie-schneck-boniato-y-zanahoria-2-un..producto?1561730,,42"
Hamburguesas veggie SCHNECK boniato y zanahoria x 2 un 180 g,Schneck,Competencia,Schneck,Hamburguesas,109,,,,,,,devoto,,241239,https://www.devoto.com.uy/product/hamburguesas-veggie-schneck-boniato-y-zanahoria-x-2-un-180-g/241239
Hamburguesas veggie SCHNECK boniato y zanahoria x 2 un 180 g,Schneck,Competencia,Schneck,Hamburguesas,109,,,,,,,geant,,241239,https://www.geant.com.uy/product/hamburguesas-veggie-schneck-boniato-y-zanahoria-x-2-un-180-g/241239
Hamburguesas Veggie SCHNECK Espinaca y Puerro (2 un.) $ 152,Schneck,Competencia,Schneck,Hamburguesas,152,,,,,,,tiendainglesa,,1561727,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-veggie-schneck-espinaca-y-puerro-2-un..producto?1561727,,42"
Hamburguesas veggie SCHNECK espinaca y puerro x 2 un 180 g,Schneck,Competencia,Schneck,Hamburguesas,109,,,,,,,devoto,,241238,https://www.devoto.com.uy/product/hamburguesas-veggie-schneck-espinaca-y-puerro-x-2-un-180-g/241238
Hamburguesas veggie SCHNECK espinaca y puerro x 2 un 180 g,Schneck,Competencia,Schneck,Hamburguesas,109,,,,,,,disco,,241238,https://www.disco.com.uy/product/hamburguesas-veggie-schneck-espinaca-y-puerro-x-2-un-180-g/241238
Hamburguesas veggie SCHNECK espinaca y puerro x 2 un 180 g,Schneck,Competencia,Schneck,Hamburguesas,109,,,,,,,geant,,241238,https://www.geant.com.uy/product/hamburguesas-veggie-schneck-espinaca-y-puerro-x-2-un-180-g/241238
Hamburguesas XL SCHNECK (2 un.) 220 g,Schneck,Competencia,Schneck,Hamburguesas,147,,,,,,,tiendainglesa,,395531,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-xl-schneck-2-un.-220-g.producto?395531,,42"
Hamburguesa SARUBBI 190 g x 2 un.,Sarubbi,Sarubbi,Sarubbi,Hamburguesas,105,,,,,,,devoto,,241909,https://www.devoto.com.uy/product/hamburguesa-sarubbi-190-g-x-2-un/241909
Hamburguesa SARUBBI 190 g x 2 un.,Sarubbi,Sarubbi,Sarubbi,Hamburguesas,105,,,,,,,disco,,241909,https://www.disco.com.uy/product/hamburguesa-sarubbi-190-g-x-2-un/241909
Hamburguesa SARUBBI 190 g x 2 un.,Sarubbi,Sarubbi,Sarubbi,Hamburguesas,103,,,,,,,geant,,241909,https://www.geant.com.uy/product/hamburguesa-sarubbi-190-g-x-2-un/241909
Hamburguesa Sarubbi Flowpack 2Und,Sarubbi,Sarubbi,Sarubbi,Hamburguesas,107,107,,,,,,eldorado,,2890,https://www.eldorado.com.uy/hamburguesa-sarubbi-flowpack-2und/p
Hamburguesa Sarubbi Gigante 4Und,Sarubbi,Sarubbi,Sarubbi,Hamburguesas,279.5,559,,,,,,eldorado,,2888,https://www.eldorado.com.uy/hamburguesa-sarubbi-gigante-4und/p
Hamburguesas gigantes SARUBBI x 4 un. 792 g,Sarubbi,Sarubbi,Sarubbi,Hamburguesas,538,,,,,,,geant,,234237,https://www.geant.com.uy/product/hamburguesas-gigantes-sarubbi-x-4-un-792-g/234237
Hamburguesas Sarubbi 2 U,Sarubbi,Sarubbi,Sarubbi,Hamburguesas,80.5,115,,,,,,tata,,15062,https://www.tata.com.uy/hamburguesas-sarubbi-2-u-15062/p
Hamburguesas SARUBBI de Carne (2 un.) 190 g,Sarubbi,Sarubbi,Sarubbi,Hamburguesas,109,,,,,,,tiendainglesa,,414882,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-sarubbi-de-carne-2-un.-190-g.producto?414882,,42"
Hamburguesas Sarubbi Gigante Extra Carne 4 U,Sarubbi,Sarubbi,Sarubbi,Hamburguesas,390.6,558,,,,,,tata,,15064,https://www.tata.com.uy/hamburguesas-sarubbi-gigante-extra-carne-4-u-15064/p
Hamburguesas SARUBBI Premium (12 un.) 1.14 Kg,Sarubbi,Sarubbi,Sarubbi,Hamburguesas,778,,,,,,,tiendainglesa,,1504268,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-sarubbi-premium-12-un.-1.14-kg.producto?1504268,,42"
Hamburguesas SARUBBI Premium (6 un.) 570 g,Sarubbi,Sarubbi,Sarubbi,Hamburguesas,415,,,,,,,tiendainglesa,,414881,"https://www.tiendainglesa.com.uy/supermercado/hamburguesas-sarubbi-premium-6-un.-570-g.producto?414881,,42"
Hamburguesas SARUBBI x 12 un. 1.140 g,Sarubbi,Sarubbi,Sarubbi,Hamburguesas,727,,,,,,,devoto,,234239,https://www.devoto.com.uy/product/hamburguesas-sarubbi-x-12-un-1-140-g/234239
Hamburguesas SARUBBI x 12 un. 1.140 g,Sarubbi,Sarubbi,Sarubbi,Hamburguesas,727,,,,,,,disco,,234239,https://www.disco.com.uy/product/hamburguesas-sarubbi-x-12-un-1-140-g/234239
Hamburguesas SARUBBI x 12 un. 1.140 g,Sarubbi,Sarubbi,Sarubbi,Hamburguesas,709,,,,,,,geant,,234239,https://www.geant.com.uy/product/hamburguesas-sarubbi-x-12-un-1-140-g/234239
Hamburguesas SARUBBI x 6 un. 570 g,Sarubbi,Sarubbi,Sarubbi,Hamburguesas,388,,,,,,,devoto,,234238,https://www.devoto.com.uy/product/hamburguesas-sarubbi-x-6-un-570-g/234238
Hamburguesas SARUBBI x 6 un. 570 g,Sarubbi,Sarubbi,Sarubbi,Hamburguesas,388,,,,,,,disco,,234238,https://www.disco.com.uy/product/hamburguesas-sarubbi-x-6-un-570-g/234238
Hamburguesas SARUBBI x 6 un. 570 g,Sarubbi,Sarubbi,Sarubbi,Hamburguesas,388,,,,,,,geant,,234238,https://www.geant.com.uy/product/hamburguesas-sarubbi-x-6-un-570-g/234238
Jamón Cocido CAMPOSUR (Kg),Camposur,Competencia,Camposur,Jamon cocido,640,,,,,,,tiendainglesa,,102661,"https://www.tiendainglesa.com.uy/supermercado/jamon-cocido-camposur-kg.producto?102661,,42"
Jamón cocido CAMPOSUR Gran Reserva x 100 g,Camposur,Competencia,Camposur,Jamon cocido,110,1100,,,,,,geant,,302024,https://www.geant.com.uy/product/jamon-cocido-camposur-gran-reserva-x-100-g/302024
Jamón Cocido CAMPOSUR x 50g,Camposur,Competencia,Camposur,Jamon cocido,36,710,,,,,,disco,,300954,https://www.disco.com.uy/product/jamon-cocido-camposur-x-50g/300954
Jamón Cocido Extra CAMPOSUR Gran Reserva (Kg),Camposur,Competencia,Camposur,Jamon cocido,1040,,,,,,,tiendainglesa,,1018530,"https://www.tiendainglesa.com.uy/supermercado/jamon-cocido-extra-camposur-gran-reserva-kg.producto?1018530,,42"
Jamón Cocido Extra de Campo CAMPOSUR x 50 g,Camposur,Competencia,Camposur,Jamon cocido,49,980,,,,,,devoto,,300947,https://www.devoto.com.uy/product/jamon-cocido-extra-de-campo-camposur-x-50-g/300947
Jamón Cocido Extra de Campo CAMPOSUR x 50 g,Camposur,Competencia,Camposur,Jamon cocido,49,980,,,,,,disco,,300947,https://www.disco.com.uy/product/jamon-cocido-extra-de-campo-camposur-x-50-g/300947
Jamón Cocido Extra de Campo CAMPOSUR x 50 g,Camposur,Competencia,Camposur,Jamon cocido,49,980,,,,,,geant,,300947,https://www.geant.com.uy/product/jamon-cocido-extra-de-campo-camposur-x-50-g/300947
Jamón cocido (Rojo) atmósfera controlada CATTIVELLI x 250 g,Cattivelli,Competencia,Cattivelli,Jamon cocido,195,780,,,,,,disco,,300718,https://www.disco.com.uy/product/jamon-cocido-rojo-atmosfera-controlada-cattivelli-x-250-g/300718
Jamón Cocido CATTIVELLI (Kg),Cattivelli,Competencia,Cattivelli,Jamon cocido,820,,,,,,,tiendainglesa,,2382,"https://www.tiendainglesa.com.uy/supermercado/jamon-cocido-cattivelli-kg.producto?2382,,42"
Jamón Cocido CATTIVELLI Envasado al Vacío 200 gr,Cattivelli,Competencia,Cattivelli,Jamon cocido,320,,,,,,,tiendainglesa,,317785,"https://www.tiendainglesa.com.uy/supermercado/jamon-cocido-cattivelli-envasado-al-vacio-200-gr.producto?317785,,42"
Jamón Cocido CATTIVELLI sin Sal (Kg),Cattivelli,Competencia,Cattivelli,Jamon cocido,1000,,,,,,,tiendainglesa,,2415,"https://www.tiendainglesa.com.uy/supermercado/jamon-cocido-cattivelli-sin-sal-kg.producto?2415,,42"
Jamón Cocido CATTIVELLI x 50 g,Cattivelli,Competencia,Cattivelli,Jamon cocido,38,750,,,,,,devoto,,300554,https://www.devoto.com.uy/product/jamon-cocido-cattivelli-x-50-g/300554
Jamón Cocido CATTIVELLI x 50 g,Cattivelli,Competencia,Cattivelli,Jamon cocido,38,750,,,,,,geant,,300554,https://www.geant.com.uy/product/jamon-cocido-cattivelli-x-50-g/300554
Jamón Cocido Cuadrille Cattivelli 100 G,Cattivelli,Competencia,Cattivelli,Jamon cocido,125,1250,,,,,,tata,,17389,https://www.tata.com.uy/jamon-cocido-cuadrille-cattivelli-100-g-17389/p
Jamón Cocido Cuadrille Extra CATTIVELLI (Kg),Cattivelli,Competencia,Cattivelli,Jamon cocido,1110,,,,,,,tiendainglesa,,1064,"https://www.tiendainglesa.com.uy/supermercado/jamon-cocido-cuadrille-extra-cattivelli-kg.producto?1064,,42"
Jamón Cocido Extra Cuadrille CATTIVELLI x 50 g,Cattivelli,Competencia,Cattivelli,Jamon cocido,56,1110,,,,,,devoto,,362219,https://www.devoto.com.uy/product/jamon-cocido-extra-cuadrille-cattivelli-x-50-g/362219
Jamón Cocido Extra Cuadrille CATTIVELLI x 50 g,Cattivelli,Competencia,Cattivelli,Jamon cocido,56,1110,,,,,,disco,,362219,https://www.disco.com.uy/product/jamon-cocido-extra-cuadrille-cattivelli-x-50-g/362219
Jamón Cocido Extra Cuadrille CATTIVELLI x 50 g,Cattivelli,Competencia,Cattivelli,Jamon cocido,45,890,,,,,,geant,,362219,https://www.geant.com.uy/product/jamon-cocido-extra-cuadrille-cattivelli-x-50-g/362219
Jamon Cocido Feteado Al Vacio 200 G,Cattivelli,Competencia,Cattivelli,Jamon cocido,245,245,,,,,,tata,,14616,https://www.tata.com.uy/jamon-cocido-feteado-al-vacio-200-g-14616/p
Jamón Cocido Magro CATTIVELLI (Kg),Cattivelli,Competencia,Cattivelli,Jamon cocido,930,,,,,,,tiendainglesa,,1069,"https://www.tiendainglesa.com.uy/supermercado/jamon-cocido-magro-cattivelli-kg.producto?1069,,42"
Jamón Cocido Magro CATTIVELLI x 50 g,Cattivelli,Competencia,Cattivelli,Jamon cocido,37,730,,,,,,disco,,362123,https://www.disco.com.uy/product/jamon-cocido-magro-cattivelli-x-50-g/362123
Jamón Cocido Magro CATTIVELLI x 50 g,Cattivelli,Competencia,Cattivelli,Jamon cocido,43,850,,,,,,geant,,362123,https://www.geant.com.uy/product/jamon-cocido-magro-cattivelli-x-50-g/362123
