producto,marca,dueno,empresa,categoria,precio,precio_lista,precio_referencia,desvio_referencia_pct,estado_referencia,producto_referencia,fuente_referencia,super,local,sku,url
Morcillas Saladas con Queso y Aceitunas CAMPOSUR Envasadas al Vacío (K...,Camposur,Competencia,Camposur,Carnes y cortes,510,,,,,,,tiendainglesa,,98309,"https://www.tiendainglesa.com.uy/supermercado/morcillas-saladas-con-queso-y-aceitunas-camposur-envasadas-al-vacio-kg.producto?98309,,42"
Pamplona de cerdo agridulce CAMPOSUR al vacío x 500 g,Camposur,Competencia,Camposur,Carnes y cortes,325,,,,,,,disco,,374155,https://www.disco.com.uy/product/pamplona-de-cerdo-agridulce-camposur-al-vacio-x-500-g/374155
Pamplona de cerdo agridulce CAMPOSUR al vacío x 500 g,Camposur,Competencia,Camposur,Carnes y cortes,325,,,,,,,geant,,374155,https://www.geant.com.uy/product/pamplona-de-cerdo-agridulce-camposur-al-vacio-x-500-g/374155
Pamplona de Cerdo Agridulce Congelado CAMPOSUR Envasado al Vacío (Kg),Camposur,Competencia,Camposur,Carnes y cortes,779,,,,,,,tiendainglesa,,246349,"https://www.tiendainglesa.com.uy/supermercado/pamplona-de-cerdo-agridulce-congelado-camposur-envasado-al-vacio-kg.producto?246349,,42"
Pamplona de Cerdo Salada Congelado CAMPOSUR Envasado al Vacío (Kg),Camposur,Competencia,Camposur,Carnes y cortes,819,,,,,,,tiendainglesa,,246350,"https://www.tiendainglesa.com.uy/supermercado/pamplona-de-cerdo-salada-congelado-camposur-envasado-al-vacio-kg.producto?246350,,42"
Sopressata al Vacío CAMPOSUR,Camposur,Competencia,Camposur,Carnes y cortes,950,,,,,,,tiendainglesa,,1095986,"https://www.tiendainglesa.com.uy/supermercado/sopressata-al-vacio-camposur.producto?1095986,,42"
Bondiola CATTIVELLI (Kg),Cattivelli,Competencia,Cattivelli,Carnes y cortes,1160,,,,,,,tiendainglesa,,69228,"https://www.tiendainglesa.com.uy/supermercado/bondiola-cattivelli-kg.producto?69228,,42"
Bondiola Cattivelli 100 G,Cattivelli,Competencia,Cattivelli,Carnes y cortes,125,1250,,,,,,tata,,164768,https://www.tata.com.uy/bondiola-cattivelli-100-g-164768/p
Bondiola Cattivelli Feteada Al Vacio Pack 200Grs,Cattivelli,Competencia,Cattivelli,Carnes y cortes,316,316,,,,,,eldorado,,2979,https://www.eldorado.com.uy/bondiola-cattivelli-feteada-al-vacio-pack-200grs/p
Bondiola CATTIVELLI kg,Cattivelli,Competencia,Cattivelli,Carnes y cortes,43,850,,,,,,devoto,,360120,https://www.devoto.com.uy/product/bondiola-cattivelli-kg/360120
Bondiola CATTIVELLI kg,Cattivelli,Competencia,Cattivelli,Carnes y cortes,43,850,,,,,,disco,,360120,https://www.disco.com.uy/product/bondiola-cattivelli-kg/360120
Bondiola Cattivelli Kg,Cattivelli,Competencia,Cattivelli,Carnes y cortes,1112.65,1309,,,,,,eldorado,,17618,https://www.eldorado.com.uy/bondiola-cattivelli-kg/p
Bondiola CATTIVELLI kg,Cattivelli,Competencia,Cattivelli,Carnes y cortes,43,850,,,,,,geant,,360120,https://www.geant.com.uy/product/bondiola-cattivelli-kg/360120
Bondiola Envasado al Vacío CATTIVELLI 200 gr,Cattivelli,Competencia,Cattivelli,Carnes y cortes,350,,,,,,,tiendainglesa,,319055,"https://www.tiendainglesa.com.uy/supermercado/bondiola-envasado-al-vacio-cattivelli-200-gr.producto?319055,,42"
Bondiola Feteada Al Vacío Cattivelli 200 G,Cattivelli,Competencia,Cattivelli,Carnes y cortes,325,325,,,,,,tata,,14478,https://www.tata.com.uy/bondiola-feteada-al-vacio-cattivelli-200-g-1000170083-14478/p
